"lang"
{
"Language"	"schinese"
"asw_menu_back"	"返回"
"[english]asw_menu_back"	"Back"
"asw_menu_IAF_training"	"IAF 训练"
"[english]asw_menu_IAF_training"	"IAF Training"
"asw_menu_singleplayer"	"单人模式"
"[english]asw_menu_singleplayer"	"Singleplayer"
"asw_menu_find_server"	"寻找服务器"
"[english]asw_menu_find_server"	"Find Server"
"asw_menu_create_server"	"创建服务器"
"[english]asw_menu_create_server"	"Create Server"
"asw_menu_friends"	"好友"
"[english]asw_menu_friends"	"Friends"
"asw_menu_options"	"选项"
"[english]asw_menu_options"	"Options"
"asw_menu_quit"	"退出"
"[english]asw_menu_quit"	"Quit"
}
}
