"lang"
{
"Language"		"tchinese"
"Command.co_m5_ob3"		"<clr:240,255,255>指揮官：好的，小隊。這裏的墻壁上都是水滴。看上去這是個寄生蟲繁殖的理想地點。保持警惕。如果妳被寄生蟲感染了，馬上向醫生求助。妳們最好就是在那些蟲卵孵化前清除它們。"
"[english]Command.co_m5_ob3"		"<clr:240,255,255>Commander: Okay Squad. Moisture's dripping off those walls. Looks like an ideal breeding ground for swarm parasites. Keep a sharp eye out. If you get infested, call a medic. Your best chance is to destroy the eggs before they pop."
"Command.co_m5_ob4"		"<clr:240,255,255>指揮官：好，隊員們，我們必須封住通道入口。這樣當妳們朝殖民區深入時，通道外的異形就無法來騷擾妳們。"
"[english]Command.co_m5_ob4"		"<clr:240,255,255>Commander: Okay, team, we need to seal the tunnel entrance. This will help keep the swarm off your backs as you move deeper into the colony."
"Command.co_m5_ob5"		"<clr:240,255,255>指揮官：好的，隊員們。我想我找到一條捷徑。在工廠西北邊的墻上有一條裂縫，妳們可以從那裏回到地面。"
"[english]Command.co_m5_ob5"		"<clr:240,255,255>Commander: Okay, Squad. I think I've found a shortcut for you. I'm detecting a breach in the facility's northwest wall. Move the squad through that breach and regain access to the surface."
"Command.co_m6_ob1"		"<clr:240,255,255>指揮官：好的，炸彈就在前方！"
"[english]Command.co_m6_ob1"		"<clr:240,255,255>Commander: Alright, the bomb is just up ahead!"
"Command.co_m6_ob2"		"<clr:240,255,255>指揮官：我偵測到整幅地圖都有生命活動信號，情況看來不妙。"
"[english]Command.co_m6_ob2"		"<clr:240,255,255>Commander: We've got new kinetic signatures breaking out all across the map. This doesn't look good."
"Command.co_m6_ob3"		"<clr:240,255,255>指揮官：好的，炸彈就在那！妳們得使用礦區的鐵道系統把炸彈送到巢穴中去。記住，這只許成功不許失敗。我們要把這裏所有的蟲子清理幹凈，任何角落都不能放過。"
"[english]Command.co_m6_ob3"		"<clr:240,255,255>Commander: Alright, there's the bomb! You'll need to use the mine's rail system to get that thing into the nest. Remember, losing this fight is not an option. We're gonna sterilize this rock right down to its bare molecules."
"Command.co_m6_ob4"		"<clr:240,255,255>指揮官：好的，最先要做的一件事情：妳們要重啟為鐵路軌道供電的變電站。這會使核彈頭重新上路，朝異形的孵化室前進。"
"[english]Command.co_m6_ob4"		"<clr:240,255,255>Commander: Okay, first thing's first. You need to reactivate the power substation for the cable railway. This'll start the warhead on its path toward the breeding chamber."
"Command.co_m6_ob5"		"<clr:240,255,255>指揮官：好的，妳們需要破解前面兩道門的密碼才能移動核彈頭到指定位置。快去開門吧。"
"[english]Command.co_m6_ob5"		"<clr:240,255,255>Commander: Alright, there are two doors that you're going to need to hack to move the warhead into position. Get 'em open."
"Command.co_m6_ob6"		"<clr:240,255,255>指揮官：一旦核彈頭到達指定位置，妳們就去啟動引爆程序。然後趕在倒數結束之前沿原路返回，並到達撤離地點。"
"[english]Command.co_m6_ob6"		"<clr:240,255,255>Commander: Once the warhead is in position, activate the detonation sequence. After that, you're gonna need to back-track your way up to the surface to reach your extraction zone."
"Command.co_m6_ob7"		"<clr:240,255,255>指揮官：好了，隊員們，計時器已經在倒數了。相信我，妳一定不會想呆在那裏直到倒數結束，不然妳一整天的努力都將白費了。"
"[english]Command.co_m6_ob7"		"<clr:240,255,255>Commander: Alright squad, the clock is ticking. You do NOT want to be there when that device goes off. Trust me, it would ruin your whole day."
"Command.co_m6_ob8"		"<clr:240,255,255>指揮官：盡量沿著原路返回！我會在撤離點與妳們匯合！"
"[english]Command.co_m6_ob8"		"<clr:240,255,255>Commander: Head out the same way you came! We'll pick you up on the surface!"
"Command.co_m6_ob9"		"<clr:240,255,255>指揮官：夥計們，妳們得快點，計時器上所剩的時間不多了。"
"[english]Command.co_m6_ob9"		"<clr:240,255,255>Commander: Gang, you need to be high speed, low drag on this operation."
"Command.co_m6_ob10"		"<clr:240,255,255>指揮官：快沒有時間了！妳們得加快步伐。"
"[english]Command.co_m6_ob10"		"<clr:240,255,255>Commander: Time is running out! You've got to pick up the pace."
"Command.co_m6_ob11"		"<clr:240,255,255>指揮官：妳們得緊張起來了。妳們就要沒有時間了。"
"[english]Command.co_m6_ob11"		"<clr:240,255,255>Commander: You need to hustle. You're almost out of time."
"Command.co_m6_ob12"		"<clr:240,255,255>指揮官：隊員們，妳們得拚命地跑，不然妳們就沒命了。妳們能做到的！"
"[english]Command.co_m6_ob12"		"<clr:240,255,255>Commander: Squad, you need to run like your lives depend on it. 'Cuz they do!"
"Command.co_m6_ob13"		"<clr:240,255,255>指揮官：已經沒有多少時間了。"
"[english]Command.co_m6_ob13"		"<clr:240,255,255>Commander: There's not much time left."
"Command.co_m6_ob14"		"<clr:240,255,255>指揮官：妳們快沒有時間了！"
"[english]Command.co_m6_ob14"		"<clr:240,255,255>Commander: You're running out of time!"
"Command.co_m6_ob15"		"<clr:240,255,255>指揮官：跟上步伐，不然妳就走不掉了！"
"[english]Command.co_m6_ob15"		"<clr:240,255,255>Commander: Pick up the pace, or you're not going to make it!"
"Command.co_m6_ob16"		"<clr:240,255,255>指揮官：隊員們，妳得馬上從那裏出來，馬上！"
"[english]Command.co_m6_ob16"		"<clr:240,255,255>Commander: Squad, you need to get out of there, NOW!"
"Command.co_m6_ob17"		"<clr:240,255,255>指揮官：還剩10秒鐘！"
"[english]Command.co_m6_ob17"		"<clr:240,255,255>Commander: Ten seconds left!"
		"Command.co_m6_ob18"		"<clr:240,255,255>Commander: You almost made it."
		"[english]Command.co_m6_ob18"		"<clr:240,255,255>Commander: You almost made it."
"Command.co_m6_ob19"		"<clr:240,255,255>指揮官：我很抱歉。我會通知妳的家人的。"
"[english]Command.co_m6_ob19"		"<clr:240,255,255>Commander: I'm sorry. I'll notify your next of kin."
"Command.co_m6_ob20"		"<clr:240,255,255>指揮官：能和妳一起共事是一種榮幸。我們不會忘記妳的。"
"[english]Command.co_m6_ob20"		"<clr:240,255,255>Commander: It was an honor serving with you. You will be remembered."
"Command.co_m6_ob21"		"<clr:240,255,255>指揮官：能和妳以及妳們每一個人一起共事是一種榮幸。妳的犧牲不會被忘記的。"
"[english]Command.co_m6_ob21"		"<clr:240,255,255>Commander: It was an honor to serve with each and every one of you. You made the ultimate sacrifice."
"Command.co_m6_ob22"		"<clr:240,255,255>指揮官：幹得好，任務完成！"
"[english]Command.co_m6_ob22"		"<clr:240,255,255>Commander: Good work, mission accomplished!"
"Command.co_m6_ob23"		"<clr:240,255,255>指揮官：任務完成!"
"[english]Command.co_m6_ob23"		"<clr:240,255,255>Commander: Mission accomplished!"
"Command.co_m6_ob24"		"<clr:240,255,255>指揮官：妳們成功了! 炸彈爆炸了！所有的異形都被消滅了。"
"[english]Command.co_m6_ob24"		"<clr:240,255,255>Commander: You did it! The bomb's gone off! The Swarm threat has been exterminated."
"Command.co_m6_ob25"		"<clr:240,255,255>指揮官：核彈被攔住了！把這些外星藤蔓清幹凈！"
"[english]Command.co_m6_ob25"		"<clr:240,255,255>Commander: The nuke is blocked! Clear up the biomass to free it up!"
"Command.co_m6_ob26"		"<clr:240,255,255>指揮官：登陸艙過載！飛船來了！跳上去我們來救妳出去！"
"[english]Command.co_m6_ob26"		"<clr:240,255,255>Commander: Landing pads overun! Bloodhound's coming in! Jump on our back and we'll get you out of there!"
"Command.co_m6_ob27"		"<clr:240,255,255>指揮官：好！我們成功了！"
"[english]Command.co_m6_ob27"		"<clr:240,255,255>Commander: Yeah! We made it!"
"Command.co_hold_ob1"		"<clr:240,255,255>指揮官：好的，隊員們，妳們已經成功到達撤離點了。指揮船正在路上了。妳們得守住撤離點直到我達到那裏。"
"[english]Command.co_hold_ob1"		"<clr:240,255,255>Commander: Alright, squad, you made it to the extraction zone. Command ship is inbound. You just need to hold out until I get there."
"Command.co_hold_ob2"		"<clr:240,255,255>指揮官：我就快到了，隊員們。"
"[english]Command.co_hold_ob2"		"<clr:240,255,255>Commander: Almost there, squad."
"Command.co_hold_ob3"		"<clr:240,255,255>指揮官：堅持住，隊員們。我在路上了！"
"[english]Command.co_hold_ob3"		"<clr:240,255,255>Commander: Hang in there, squad. I'm on my way!"
"Command.co_hold_ob4"		"<clr:240,255,255>指揮官：我正火速趕往妳們那裏！"
"[english]Command.co_hold_ob4"		"<clr:240,255,255>Commander: Coming in hot!"
"Command.co_debriefing_ob1"		"<clr:240,255,255>指揮官：任務完成！幹得好，士兵們。"
"[english]Command.co_debriefing_ob1"		"<clr:240,255,255>Commander: Objective completed! Good work, marines."
"Command.co_debriefing_ob2"		"<clr:240,255,255>指揮官：從逃生艙的飛行記錄分析來看，有一部分逃生船隻成功地離開了 Vereon XII 的軌道並撤離了出來。看來有好一部分 SynTek 工作人員與殖民區居民還活著。"
"[english]Command.co_debriefing_ob2"		"<clr:240,255,255>Commander: Analysis of the flight recorder from the escape pod shows a number of vessels did successfully break orbit and leave Vereon XII. Looks like a handful of SynTek officers and colonists."
"Command.co_debriefing_ob3"		"<clr:240,255,255>指揮官：從記錄中我們還得知一艘沒有身份識別代碼的小型逃生艙留在了行星的大氣層中。這艘逃生艙的所有發射數據都被身份不明的人破壞了。 我們已經派出了搜索船隻在附近搜索，但由於不知道其具體大小以及飛行軌道，因此找到它的可能性很小。"
"[english]Command.co_debriefing_ob3"		"<clr:240,255,255>Commander: We also show a small container left the atmosphere without broadcasting ID codes. All launch data for this vessel has been scrambled by persons unknown. We've dispatched scout vessels to search the immediate vicinity, but given its size and the unknown trajectory, the chances of finding it are slim."
"Command.co_debriefing_ob4"		"<clr:240,255,255>指揮官：在電梯發動前，所有人都必須站到電梯上去。"
"[english]Command.co_debriefing_ob4"		"<clr:240,255,255>Commander: Everybody has to be on that lift before it'll activate."
"Command.co_debriefing_ob5"		"<clr:240,255,255>指揮官：隊員們，妳們漂亮地摧毀了管道。這應該能阻止異形繼續進入殖民區。"
"[english]Command.co_debriefing_ob5"		"<clr:240,255,255>Commander: Good work destroying the pipeline, Squad. This should hinder Swarm movement within the colony."
"Command.co_debriefing_ob6"		"<clr:240,255,255>指揮官：系統顯示反應堆已經重新啟動並且正以全功率運行中。 幹得漂亮！"
"[english]Command.co_debriefing_ob6"		"<clr:240,255,255>Commander: We are showing the reactor back up and running at full efficiency. Great job!"
"Command.co_debriefing_ob7"		"<clr:240,255,255>指揮官：妳們所找到的數據顯示出之前有一些 SynTek 保安人員試圖對異形進行反擊。而現在我們所能確定的是：他們都失敗了。"
"[english]Command.co_debriefing_ob7"		"<clr:240,255,255>Commander: The data you recovered shows a number of SynTek Security personnel attempted to fight back the infestation. We can assume at this point that they were unsuccessful."
"Command.co_debriefing_ob8"		"<clr:240,255,255>指揮官：當下水道入口被封住後，如果那些異形想要到地面去，那麽只有一條路可走。"
"[english]Command.co_debriefing_ob8"		"<clr:240,255,255>Commander: With the sewer access tunnel sealed, the Swarm have only one way to the surface."
"Command.co_debriefing_ob9"		"<clr:240,255,255>指揮官：幹得真漂亮，指揮官。由妳的小隊所引爆的核彈摧毀了大量處於地表下的異形部隊。我們估計超過200枚蟲卵以及不計其數的異形成蟲在這次爆炸中被消滅。"
"[english]Command.co_debriefing_ob9"		"<clr:240,255,255>Commander: Excellent work, Commander. The thermonuclear device detonated by your squad has destroyed the bulk of the Swarm forces beneath the surface. We estimate in excess of 200 eggs and countless Swarm drones have been wiped out by the detonation."
"Command.co_debriefing_ob10"		"<clr:240,255,255>指揮官：但我們偵測到在地下深處有一個孵化室依然處於很好的保護狀態下，並從其中傳出一個巨大的熱源活動信號。IAF 指揮部正對此展開調查。"
"[english]Command.co_debriefing_ob10"		"<clr:240,255,255>Commander: We are still detecting a single large heat source in a deep, well protected chamber. IAF Command is making investigation of this a priority."
"bastille.SynUpReply0"		"<clr:205,127,50>Bastille：妳不會想去喝那玩意的，相信我。"
//Bastille
"[english]bastille.SynUpReply0"		"<clr:205,127,50>Bastille: You don't wanna drink that shit, believe me."
"bastille.CrashComplainReply0"		"<clr:205,127,50>Bastille：也許妳該向上頭報告，說自己患有神經衰弱。"
"[english]bastille.CrashComplainReply0"		"<clr:205,127,50>Bastille: Maybe you should report a nervous breakdown."
"bastille.MedicComplainReply0"		"<clr:205,127,50>Bastille：噢，拜托，妳受的傷也就和我受的差不多嘛。"
"[english]bastille.MedicComplainReply0"		"<clr:205,127,50>Bastille: Oh come on, you get injured just as much as I do."
"bastille.MedicComplain0"		"<clr:205,127,50>Bastille：妳就不能不受傷嗎？"
"[english]bastille.MedicComplain0"		"<clr:205,127,50>Bastille: Can't you not get hurt for a change?"
"bastille.MedicComplain1"		"<clr:205,127,50>Bastille：妳幹嗎要靠那些玩意那麽近？"
"[english]bastille.MedicComplain1"		"<clr:205,127,50>Bastille: Now why do you get so close to them?"
"bastille.HealingCrashReply0"		"<clr:205,127,50>Bastille：我留著它們以防妳到時候真的受傷。"
"[english]bastille.HealingCrashReply0"		"<clr:205,127,50>Bastille: I'm saving them for when you really get hurt."
"bastille.HealingCrash0"		"<clr:205,127,50>Bastille：站著別動。"
"[english]bastille.HealingCrash0"		"<clr:205,127,50>Bastille: Steady now."
"bastille.TequilaReply0"		"<clr:205,127,50>Bastille：我很早就放棄了那些東西。"
"[english]bastille.TequilaReply0"		"<clr:205,127,50>Bastille: I gave up that stuff a long time ago."
"bastille.CrashIdleReply0"		"<clr:205,127,50>Bastille：我正嘗試挽救妳那可憐的小屁股。"
"[english]bastille.CrashIdleReply0"		"<clr:205,127,50>Bastille: Trying to keep your sorry ass alive."
"bastille.InjuredSelection0"		"<clr:205,127,50>Bastille：我們能走了不？"
"[english]bastille.InjuredSelection0"		"<clr:205,127,50>Bastille: Are we leaving?"
"bastille.InjuredSelection1"		"<clr:205,127,50>Bastille：它們來個不停！"
"[english]bastille.InjuredSelection1"		"<clr:205,127,50>Bastille: They just keep coming!"
"bastille.InjuredSelection2"		"<clr:205,127,50>Bastille：這個地方就像是地獄！"
"[english]bastille.InjuredSelection2"		"<clr:205,127,50>Bastille: This whole place is getting to hell!"
"bastille.InjuredSelection3"		"<clr:205,127,50>Bastille：這地方快要完蛋了！"
"[english]bastille.InjuredSelection3"		"<clr:205,127,50>Bastille: This whole place is getting to hell!"
"bastille.InjuredSelection4"		"<clr:205,127,50>Bastille：妳現在想幹嗎？"
"[english]bastille.InjuredSelection4"		"<clr:205,127,50>Bastille: What do you want now?"
"bastille.SeriousInjuryReply0"		"<clr:205,127,50>Bastille：好吧，妳說的算。"
"[english]bastille.SeriousInjuryReply0"		"<clr:205,127,50>Bastille: All right, if you say so."
"bastille.SeriousInjuryFollowUp0"		"<clr:205,127,50>Bastille：別給我耍花樣，懂嗎？"
"[english]bastille.SeriousInjuryFollowUp0"		"<clr:205,127,50>Bastille: I don't want any stunts, ok?"
"bastille.SeriousInjuryFollowUp1"		"<clr:205,127,50>Bastille：放鬆點，聽醫生的話。"
"[english]bastille.SeriousInjuryFollowUp1"		"<clr:205,127,50>Bastille: Just take it easy, doctor's orders."
"bastille.SeriousInjury0"		"<clr:205,127,50>Bastille：小心點，那傷口有可能會裂開。"
"[english]bastille.SeriousInjury0"		"<clr:205,127,50>Bastille: Be careful, the wound might still open."
"bastille.SeriousInjury1"		"<clr:205,127,50>Bastille：好消息，下個任務妳可以休息了。"
"[english]bastille.SeriousInjury1"		"<clr:205,127,50>Bastille: Good news, you're off the next mission."
"bastille.StillBreathingReply0"		"<clr:205,127,50>Bastille：妳知道妳能為自己辯護的，對不對？"
"[english]bastille.StillBreathingReply0"		"<clr:205,127,50>Bastille: You know you can get counseling for that, right?"
"bastille.Use0"		"<clr:205,127,50>Bastille：完全同意。"
"[english]bastille.Use0"		"<clr:205,127,50>Bastille: Absolutely."
"bastille.Use1"		"<clr:205,127,50>Bastille：當然。"
"[english]bastille.Use1"		"<clr:205,127,50>Bastille: But of course."
"bastille.Use2"		"<clr:205,127,50>Bastille：好主意。"
"[english]bastille.Use2"		"<clr:205,127,50>Bastille: Good thinking."
"bastille.Use3"		"<clr:205,127,50>Bastille：立即執行。"
"[english]bastille.Use3"		"<clr:205,127,50>Bastille: Immediatement."
"bastille.Use4"		"<clr:205,127,50>Bastille：是。"
"[english]bastille.Use4"		"<clr:205,127,50>Bastille: Oui."
"bastille.Use5"		"<clr:205,127,50>Bastille：好的。"
"[english]bastille.Use5"		"<clr:205,127,50>Bastille: Oui."
"bastille.Use6"		"<clr:205,127,50>Bastille：是的。"
"[english]bastille.Use6"		"<clr:205,127,50>Bastille: Oui."
"bastille.Use7"		"<clr:205,127,50>Bastille：明白。"
"[english]bastille.Use7"		"<clr:205,127,50>Bastille: Understood."
"bastille.Use8"		"<clr:205,127,50>Bastille：是的，長官。"
"[english]bastille.Use8"		"<clr:205,127,50>Bastille: Yes, sir."
"bastille.Use9"		"<clr:205,127,50>Bastille：遵命，長官。"
"[english]bastille.Use9"		"<clr:205,127,50>Bastille: Yes, sir."
"bastille.Use10"		"<clr:205,127,50>Bastille：好的，長官。"
"[english]bastille.Use10"		"<clr:205,127,50>Bastille: Yes, sir."
"bastille.Idle0"		"<clr:205,127,50>Bastille：小心點，它們可能無處不在。"
"[english]bastille.Idle0"		"<clr:205,127,50>Bastille: Careful, they could be anywhere."
"bastille.Idle1"		"<clr:205,127,50>Bastille：妳聽到那些聲音了嗎？"
"[english]bastille.Idle1"		"<clr:205,127,50>Bastille: Did you hear that noise?"
"bastille.Idle2"		"<clr:205,127,50>Bastille：如果我知道，我就會呆在家裏。"
"[english]bastille.Idle2"		"<clr:205,127,50>Bastille: If I knew, I would've stayed home."
"bastille.Idle3"		"<clr:205,127,50>Bastille：保持安靜。"
"[english]bastille.Idle3"		"<clr:205,127,50>Bastille: Keep quiet."
"bastille.Idle4"		"<clr:205,127,50>Bastille：這裏太安靜了，把“殺蟲劑”準備好。"
"[english]bastille.Idle4"		"<clr:205,127,50>Bastille: Now it's quiet, open a Bordeux."
"bastille.Idle5"		"<clr:205,127,50>Bastille：好極了，現在我聽到某些東西了。"
"[english]bastille.Idle5"		"<clr:205,127,50>Bastille: Great, now I'm hearing things."
"bastille.Idle6"		"<clr:205,127,50>Bastille：我可不喜歡這下面。"
"[english]bastille.Idle6"		"<clr:205,127,50>Bastille: I don't like it down here."
"bastille.Idle7"		"<clr:205,127,50>Bastille：如果我們走運的話，當低溫休眠結束後，我們的傷也就好了。"
"[english]bastille.Idle7"		"<clr:205,127,50>Bastille: If we're lucky the wounds will be healed when we wake up from cryosleep."
"bastille.Idle8"		"<clr:205,127,50>Bastille：無視那些謠言。興奮劑才不會讓人上癮。"
"[english]bastille.Idle8"		"<clr:205,127,50>Bastille: Ignore the rumors. Stimpacks aren't that addictive."
"bastille.Idle9"		"<clr:205,127,50>Bastille：我聽到有東西在動。"
"[english]bastille.Idle9"		"<clr:205,127,50>Bastille: I hear something moving."
"bastille.Idle10"		"<clr:205,127,50>Bastille：我希望我們能把那些混帳都送到地獄去。"
"[english]bastille.Idle10"		"<clr:205,127,50>Bastille: I hope we send every last one of these bastards straight to hell."
"bastille.Idle11"		"<clr:205,127,50>Bastille：這地方到底還有多少蟲子？"
