"lang"
{
"Language"	"tchinese"
"[english]asw_menu_load_campaign"	"Load Saved Campaign"
"asw_menu_single_mission"	"單人任務"
"[english]asw_menu_single_mission"	"Single Mission"
"asw_menu_back"	"返回"
"[english]asw_menu_back"	"Back"
"asw_menu_IAF_training"	"IAF 訓練"
"[english]asw_menu_IAF_training"	"IAF Training"
"asw_menu_singleplayer"	"單人模式"
"[english]asw_menu_singleplayer"	"Singleplayer"
"asw_menu_find_server"	"尋找服務器"
"[english]asw_menu_find_server"	"Find Server"
"asw_menu_create_server"	"創建服務器"
"[english]asw_menu_create_server"	"Create Server"
"asw_menu_friends"	"好友"
"[english]asw_menu_friends"	"Friends"
"asw_menu_options"	"選項"
"[english]asw_menu_options"	"Options"
"asw_menu_quit"	"退出"
"[english]asw_menu_quit"	"Quit"
}
}
