"lang"
{
"Language"	"tchinese"
"[english]asw_SynTekEmergencyCoolantLabel"	"Emergency Coolant"
"asw_SynTekEnergyBusLabel"	"能量輸送母線原始輸出："
"[english]asw_SynTekEnergyBusLabel"	"Energy Transfer Bus Raw Output:"
"asw_SynTekReactorStatusLabel"	"反應堆"
"[english]asw_SynTekReactorStatusLabel"	"REACTOR"
"asw_SynTekReactorOnlineLabel"	"在線"
"[english]asw_SynTekReactorOnlineLabel"	"ONLINE"
"asw_SynTekReactorOfflineLabel"	"離線"
"[english]asw_SynTekReactorOfflineLabel"	"OFFLINE"
"asw_SynTekEnergyNameLabel"	"能量輸出"
"[english]asw_SynTekEnergyNameLabel"	"ENERGY OUTPUT"
"asw_SynTekEfficiencyNameLabel"	"運作\n效率"
"[english]asw_SynTekEfficiencyNameLabel"	"OPERATING\nEFFICIENCY"
"asw_stock_symbol"	"代碼"
"[english]asw_stock_symbol"	"Symbol"
"asw_stock_name"	"名稱"
"[english]asw_stock_name"	"Name"
"asw_stock_value"	"價格"
"[english]asw_stock_value"	"Value"
"asw_stock_change"	"變動"
"[english]asw_stock_change"	"Change"
"asw_stock_volume"	"成交量"
"[english]asw_stock_volume"	"Volume"
"asw_weather_temp"	"溫度："
"[english]asw_weather_temp"	"Temperature:"
"asw_weather_wind"	"風速："
"[english]asw_weather_wind"	"Wind Speed:"
"asw_weather_pressure"	"氣壓："
"[english]asw_weather_pressure"	"Air Pressure:"
"asw_weather_humidity"	"相對濕度："
"[english]asw_weather_humidity"	"Relative Humidity:"
"asw_weather_cloud"	"雲量："
"[english]asw_weather_cloud"	"Cloud Cover:"
"asw_weather_vis"	"可見度："
"[english]asw_weather_vis"	"Visibility:"
"asw_weather_weather"	"當前天氣狀況："
"[english]asw_weather_weather"	"Current Weather:"
"asw_weather_temp_r"	"%s1 開爾文"
"[english]asw_weather_temp_r"	"%s1 Kelvin"
"asw_weather_wind_r"	"%s1 米/秒"
"[english]asw_weather_wind_r"	"%s1 m/s"
"asw_weather_pressure_r"	"%s1 百帕"
"[english]asw_weather_pressure_r"	"%s1 hPa"
"asw_weather_humidity_r"	"%s1%"
"[english]asw_weather_humidity_r"	"%s1%"
"asw_weather_broken_cloud_r"	"%s1m 晴轉多雲"
"[english]asw_weather_broken_cloud_r"	"Broken clouds at %s1m"
"asw_weather_few_cloud_r"	"%s1m 少雲"
"[english]asw_weather_few_cloud_r"	"Few clouds at %s1m"
"asw_weather_vis_r"	"%s1 千米"
"[english]asw_weather_vis_r"	"%s1 km"
"asw_weather_weather_light"	"小雪"
"[english]asw_weather_weather_light"	"Light snow"
"asw_weather_weather_moderate"	"中雪"
"[english]asw_weather_weather_moderate"	"Moderate snow"
"asw_weather_warning"	"警告：員工進行地面工作時應注意遵守相應的程序。雪地車僅允許授權人員在有需要的情況下使用。SynTek 公司不對任何因暴露在大氣中造成的傷害負責，包括體溫過低、窒息、化學灼傷以及其他一些未列舉的情況。"
"[english]asw_weather_warning"	"WARNING: Employees are cautioned to observe proper procedure for surface work.  Snow Cats are available only to authorized personnel if duties require.  SynTek Megacorporation is not liable for any injury caused due to atmospheric exposure, including but not limited to, hypothermia, asphyxiation and chemical burns."
"asw_SynTekFlagLabel0"	"登出"
"[english]asw_SynTekFlagLabel0"	"Out"
"asw_SynTekFlagLabel1"	"鎖定"
"[english]asw_SynTekFlagLabel1"	"Lock"
"asw_SynTekFlagLabel2"	"抑制"
"[english]asw_SynTekFlagLabel2"	"Dampening"
"asw_SynTekFlagLabel3"	"渦輪過載"
"[english]asw_SynTekFlagLabel3"	"Turbine Overload"
"asw_SynTekFlagLabel4"	"渦輪故障"
"[english]asw_SynTekFlagLabel4"	"Turbine Failure"
"asw_SynTekFlagLabel5"	"熱交換器過載"
"[english]asw_SynTekFlagLabel5"	"Heat Ex. Overload"
"asw_SynTekFlagLabel6"	"熱交換器故障"
"[english]asw_SynTekFlagLabel6"	"Heat Exchanger Failure"
"asw_SynTekFlagLabel7"	"主冷卻劑泄露"
"[english]asw_SynTekFlagLabel7"	"Primary Coolant Leak"
"asw_SynTekFlagLabel8"	"次級冷卻劑泄露"
"[english]asw_SynTekFlagLabel8"	"Secondary Coolant Leak"
"asw_SynTekFlagLabel9"	"備用冷卻劑泄露"
"[english]asw_SynTekFlagLabel9"	"Emergency Coolant Leak"
"asw_SynTekFlagLabel10"	"子空間連接"
"[english]asw_SynTekFlagLabel10"	"Subspace Hook-up"
"asw_SynTekFlagLabel11"	"SynTek 總部連接"
"[english]asw_SynTekFlagLabel11"	"SynTek HQ Link"
"asw_access_pda"	"使用個人數字助理"
"[english]asw_access_pda"	"Access PDA"
"asw_MailAccount"	"郵箱賬戶："
"[english]asw_MailAccount"	"Mail Account:"
"asw_MailBodyLabel"	"消息："
"[english]asw_MailBodyLabel"	"Message:"
"asw_leadership"	"領導能力"
"[english]asw_leadership"	"Leadership"
"asw_vindicator"	"複仇者霰彈槍威力"
"[english]asw_vindicator"	"Vindicator Damage"
"asw_incendiarym"	"燃燒地雷"
"[english]asw_incendiarym"	"Incendiary Mines"
"asw_autogunsk"	"自動機槍威力"
"[english]asw_autogunsk"	"Autogun Damage"
"asw_stopping"	"拒止能力"
"[english]asw_stopping"	"Stopping Power"
"asw_piercingbullets"	"子彈穿透力"
"[english]asw_piercingbullets"	"Piercing Bullets"
"asw_healing"	"治療能力"
"[english]asw_healing"	"Healing"
"asw_xenowound"	"感染治療能力"
"[english]asw_xenowound"	"Infestation Curing"
"asw_combatdrugs"	"戰鬥藥劑持續性"
"[english]asw_combatdrugs"	"Combat Drugs"
"asw_hacking"	"入侵能力"
"[english]asw_hacking"	"Hacking"
"asw_scanner"	"掃描儀範圍"
"[english]asw_scanner"	"Scanner"
"asw_engineering"	"工程技巧"
"[english]asw_engineering"	"Engineering"
"asw_accuracy_skill"	"傷害加成"
"[english]asw_accuracy_skill"	"Damage Bonus"
"asw_grenades"	"爆炸殺傷力加成"
"[english]asw_grenades"	"Explosives Bonus"
"asw_health"	"生命值加成"
"[english]asw_health"	"Health Bonus"
"asw_melee"	"近戰攻擊力加成"
"[english]asw_melee"	"Melee Damage Bonus"
"asw_reloading"	"裝彈速度加成"
"[english]asw_reloading"	"Reload Speed Bonus"
"asw_agility"	"移動速度加成"
"[english]asw_agility"	"Speed Bonus"
"asw_points"	"技能點"
"[english]asw_points"	"Points"
"asw_unspent_points"	"技能點數：%s1"
"[english]asw_unspent_points"	"Skill Points: %s1"
"asw_undo_tooltip"	"撤銷"
"[english]asw_undo_tooltip"	"Undo"
"asw_undo_tooltip_desc"	"撤銷此任務的技能點數使用"
"[english]asw_undo_tooltip_desc"	"Undo skill points spent this mission"
"asw_points_tooltip"	"未使用的技能點數"
"[english]asw_points_tooltip"	"Unused Skill Points"
"asw_points_tooltip_desc"	"花費技能點來提升角色的能力。\n角色使用了 %s1 點技能點。"
"[english]asw_points_tooltip_desc"	"Spend skill points to improve marine abilities.\nMarine has %s1 skill points already allocated."
"asw_leadership_desc"	"提高附近隊友的攻擊力和防禦力。"
"[english]asw_leadership_desc"	"Boosts the damage dealt and damage\nresistance of nearby squad mates."
"asw_vindicator_desc"	"提高複仇者霰彈槍的威力。"
"[english]asw_vindicator_desc"	"Increases damage dealt by the Vindicator."
"asw_incendiarym_desc"	"提高地雷類武器的傷害和攜帶數量。"
"[english]asw_incendiarym_desc"	"Increases the size and duration of the\nnapalm fires released from Incendiary Mines."
"asw_autogunsk_desc"	"提高自動機槍和急射機槍的傷害。"
"[english]asw_autogunsk_desc"	"Increases damage dealt by the Autogun and Minigun."
"asw_stopping_desc"	"提高擊暈異形的概率。"
"[english]asw_stopping_desc"	"Increase chance of marine shots stunning\nSwarm drones."
"asw_piercingbullets_desc"	"發射出的子彈有一定概率能夠貫穿敵人。"
"[english]asw_piercingbullets_desc"	"Provides a chance for bullets to pierce\nenemies and continue out the other side."
"asw_healing_desc"	"提高治療效果和治療物品攜帶量。"
"[english]asw_healing_desc"	"Increases healing power of healing\nitems and the total amount carried."
"asw_xenowound_desc"	"使得醫生能夠治療被感染的單位，縮短治療時間。"
"[english]asw_xenowound_desc"	"Allows the medic to heal infested marines,\nreducing the duration of the infestation."
		"asw_combatdrugs_desc"	"Boosts effectiveness of adrenaline\nwhen used by your squad."
"[english]asw_combatdrugs_desc"	"Boosts effectiveness of adrenaline\nwhen used by your squad."
"asw_hacking_desc"	"減少入侵系統、程序破解\n以及下載關鍵數據的時間。"
"[english]asw_hacking_desc"	"Reduces time needed to charge wire\npanel actuators and download critical data."
"asw_scanner_desc"	"提高掃描器的偵測範圍和掃描頻率。"
"[english]asw_scanner_desc"	"Increases range and rate of the movement scanner."
		"asw_engineering_desc"	"Speeds up welding and Sentry Gun\nsetup for all nearby squad mates. Improves fire rate of prototype rifle"
"[english]asw_engineering_desc"	"Speeds up welding and Sentry Gun\nsetup for all nearby squad mates. Improves fire rate of prototype rifle"
"asw_accuracy_skill_desc"	"增強大多數標准武器的殺傷力。"
"[english]asw_accuracy_skill_desc"	"Increases the damage dealt by most\nstandard weapons."
"asw_grenades_desc"	"增強所有爆炸型武器的威力。"
"[english]asw_grenades_desc"	"Increases the effectiveness of all\nexplosive weapons."
"asw_health_desc"	"提高人物角色的生命值上限。"
"[english]asw_health_desc"	"Increases the total health of the marine."
"asw_melee_desc"	"提高人物角色肉搏攻擊以及\n近戰武器的殺傷力。"
"[english]asw_melee_desc"	"Increases the damage dealt by the marine's\nmelee attacks and melee weapons."
"asw_reloading_desc"	"減少所有武器的上彈時間。"
"[english]asw_reloading_desc"	"Decreases the reload time of all weapons."
"asw_agility_desc"	"提高人物角色的移動速度。"
"[english]asw_agility_desc"	"Increases the marine's movement speed."
"asw_name_sarge"	"Sarge"
"[english]asw_name_sarge"	"Sarge"
"asw_name_jaeger"	"Jaeger"
"[english]asw_name_jaeger"	"Jaeger"
"asw_name_wildcat"	"Wildcat"
"[english]asw_name_wildcat"	"Wildcat"
"asw_name_wolfe"	"Wolfe"
"[english]asw_name_wolfe"	"Wolfe"
"asw_name_faith"	"Faith"
"[english]asw_name_faith"	"Faith"
"asw_name_bastille"	"Bastille"
"[english]asw_name_bastille"	"Bastille"
"asw_name_crash"	"Crash"
"[english]asw_name_crash"	"Crash"
"asw_name_flynn"	"Flynn"
"[english]asw_name_flynn"	"Flynn"
"asw_name_vegas"	"Vegas"
"[english]asw_name_vegas"	"Vegas"
"asw_bio_sarge"	"Joseph Conrad 是名強悍的、經驗豐富的老兵。他是少數幾個在異形大規模入侵中活下來的幸存者，那段經曆磨煉了他。作爲一名作風強硬的指揮官，他不僅以身作則，還會以那不太溫柔的“腳踢屁股”動作來招呼犯錯的部下。他很了解他的士兵並努力使他們保持最佳狀態。"
"[english]asw_bio_sarge"	"Joseph Conrad is a tough, experienced soldier.  He's one of the few people to have survived a large-scale Swarm invasion, an experience which forged him into the driven man he is today.  A strong commander, he leads both by example, and through the not-so-gentle application of verbal foot to ass.  He knows his team well and pushes hard to keep them at their best."
"asw_bio_jaeger"	"Karl Jaeger 的父親的父親是名陸軍醫務兵，因此他的骨子裏有著好戰的天性。他是一台極具衝勁的殺戮機器，並擁有那些真正的戰士才具有的氣魄。他堅信戰鬥能使靈魂獲得解放，而且總在猜想自己是否會在戰鬥中犧牲。如果這一切都發生了...反正，這對他來說再好不過了。"
"[english]asw_bio_jaeger"	"Karl Jaeger is the son of the son of a corpsman, military to his war-hardened bones.  He’s a hard-charging killing machine with a true warrior’s spirit.  He believes in the soul-freeing joy of combat and has always suspected he'll die in the line of duty.  And if that happens, well, he can’t imagine a better way to go."
"asw_bio_wildcat"	"在長大後，Wildcat 從來沒有想過自己會繼承家族的傳統，去當一名軍人。雖然她來自軍人之家，可在校期間，她夢想是受聘于大企業，穿正裝，以及擁有一個不錯的、位于角落頭的辦公室。但是該死的異形使這一切都泡了湯。每個與她同齡的人都把一切寄托于殖民區那毫無勝算的防禦設施上。一切都注定會失敗。那時她25歲，異形的侵入造成了慘重的損失，殖民區被摧毀了， 她的家人不是被殺害就是失散了。Wildcat 從此成爲了精英部隊的一員，繼續著與異形的戰鬥。"
"[english]asw_bio_wildcat"	"Growing up, Wildcat hadn’t anticipated following in the footsteps of her military family.  In school, she’d dreamed of corporate life, business suits, a nice corner office.  But the swarm took that away.  Every able-bodied man and woman in her age cohort was funneled into hopeless defense of the colonies.  By the time she was twenty-five, the cause was lost-- the colonies decimated, her family dead and scattered.  Wildcat transferred into an elite unit to continue the fight."
"asw_bio_wolfe"	"Wolfe 是個有前科的士兵。在他的上一次審判中，法官給了他兩個選擇：進監獄或者加入星際武裝部隊。他抓住了這個可以改變他命運的機會。他在新兵訓練營中表現出色，從徒手搏鬥到特殊裝備拆分與組裝，他都名列前茅。當他的訓練結束後，他發覺自己不只是喜歡上了軍隊生活，而且還過得很不錯 --- 因此，他被征召進了特種部隊"
"[english]asw_bio_wolfe"	"Wolfe is an ex-con turned soldier.  At his last sentencing, the judge gave him a choice: jail or the Interstellar Armed Forces.  It was the chance he needed to turn his life around.  He took top honors at boot camp, easily beating the other enlisted men at everything from hand-to-hand combat to special ordinance disassembly.  When his sentence was up, he found that he not only liked military life, but was good at it--and was consequently offered a position in Special Ops"
"asw_bio_faith"	"Faith 天生就具有著醫生的心靈。她來這裏是爲了救死扶傷並堅信星際武裝部隊的任務是保護聯盟系統免遭異形的侵略。盡管見證了許多次行動，但她所看見的那些人間慘劇，仍然深深地影響著她；而且在工作中，她總是盡力去減少不必要的損失。她無時無刻都在爲自己隊伍的安全著想。"
"[english]asw_bio_faith"	"Faith has the heart and soul of a medic.  She's here to help people and believes in the Interstellar Armed Forces' mission to protect the Allied Systems against hostile alien assault.  Despite having seen plenty of action, she’s still genuinely impacted by the human tragedy she sees and tends to take losses personally.  She's deeply concerned for the welfare of her team."
"asw_bio_bastille"	"Bastille 出生在一所監獄中，他是一名政治犯的孩子；當政局變化時，他的家人得到了赦免。他所生活的世界被黑心商人們操縱著，在那裏他學會了些基本的醫療技巧。他同時也接受過一系列良好的、非正式的學術教育（監獄裏到處都是哲學家、作家、教育家、詩人和牧師）。Bastille 雖然天性多疑，但卻是個出色的戰地醫生。"
"[english]asw_bio_bastille"	"Leon Bastille was born on a prison world, child of a political prisoners; when political tides shifted, his family was released.  It was a world run by black marketeers, where he learned basic medicine hands-on.  He also received a strong, if informal, academic education (the prison being full of philosophers, authors, educators, poets and priests).  Bastille is naturally suspicious of others, but also an excellent combat medic."
"asw_bio_crash"	"David Murphy，據說他在就讀技術學校時，就已經是一名天才少年黑客，並很快走上了違法犯罪的道路。21歲那年，便制造了駭人聽聞的 Starbase 系統癱瘓事件，據說造成了貿易聯盟數百萬的損失。Murphy 現正在星際武裝部隊中工作，作爲他刑罰的一部分。"
"[english]asw_bio_crash"	"David Murphy, reputedly a child hacker genius at tech school, didn't take long to fall onto the wrong side of the law.  At the age of 21, he was responsible for the notorious Starbase Systems Crash, allegedly costing the Trade Leagues millions in lost credits.  Murphy is now serving time in the IAF as part of his sentence."
"asw_bio_flynn"	"Flynn 的臉上有道橫過左眼的大傷疤。他天生就是個鬥志旺盛的戰士，從小在一個充滿怨恨的世界中成長，居住在一個充滿敵意、並且會因爲各種恩怨而沒完沒了的社會中，還因長期的內戰而飽受摧殘。他擅長巷戰，遊擊戰術以及一些卑鄙的手段。他同時也精通大型武器，並且越大越好。他少言寡語，卻時刻用那只好眼睛警惕著一切。"
"[english]asw_bio_flynn"	"Flynn's face is marred by a huge scar running across his left eye.  He's a scrappy born fighter, raised on a grudge-world, settled by warring societies pursuing a deliberate generations-old feud, wracked by perpetual civil war.  He's most comfortable with streetwar, guerrilla tactics, and dirty fighting.  He's also most comfortable with large weapons.  The bigger, the better.  He talks little, his one good eye ever watchful."
"asw_bio_vegas"	"Vegas 擁有近乎學者般計算與記憶天賦，他把這種能力運用到了各個賭場中，他能在撲克以及21點賭桌上贏得大把大把的錢。可是命運無常，當背負了巨額的債務並且惹怒了一些大人物之後，他不得不離開。Vegas 加入了星際武裝部隊，在那裏他可以掙錢用以還債 (或者說掙夠他東山再起的賭本)，以及躲避那些想要打碎他膝蓋的家夥。"
"[english]asw_bio_vegas"	"Vegas has an almost savant-like talent for counting and memorization, a skill he put to use in various gambling houses where he won big at poker and blackjack tables. However, fortune is fickle, and after racking up massive debts and angering some important people, he had to get out. Vegas joined the IAF so he could earn the money to pay back his debts (or a sizeable seed fund with which to win back the rest), and to get away from people who want to crush his kneecaps."
"asw_nomarines"	"未選擇任何士兵。"
"[english]asw_nomarines"	"No marines selected."
"asw_spectating"	"旁觀"
"[english]asw_spectating"	"SPECTATING"
"asw_spectating_marine"	"旁觀 %s1"
"[english]asw_spectating_marine"	"SPECTATING %s1"
"asw_spectating_player"	"旁觀 %s2 (%s1)"
"[english]asw_spectating_player"	"SPECTATING %s2 (%s1)"
"asw_missionl"	"任務"
"[english]asw_missionl"	"Mission"
"asw_missing"	"任務"
"[english]asw_missing"	"MISSION"
"asw_roster"	"人物名單"
"[english]asw_roster"	"ROSTER"
"asw_equip"	"裝備"
"[english]asw_equip"	"EQUIP"
"asw_options"	"選項"
"[english]asw_options"	"OPTIONS"
"asw_start_campaign"	"開始新戰役"
"[english]asw_start_campaign"	"Start New Campaign"
"asw_load_campaign"	"載入保存的戰役"
"[english]asw_load_campaign"	"Load Saved Campaign"
"asw_single_mission"	"單人任務"
"[english]asw_single_mission"	"Single Mission"
"asw_youhavenomarines"	"從人物名單中選擇一名士兵參與此任務。"
"[english]asw_youhavenomarines"	"Select marines from the ROSTER to join this mission."
"asw_revive_marines"	"複活死亡的士兵"
"[english]asw_revive_marines"	"Revive Marines"
"asw_revive_warning"	"複活死亡的士兵是一件昂貴的事情，這會花費 IAF 大量的資源並且會在你的檔案記錄中留下永久的負面信息記錄。你確定想要授權複活程序執行此操作嗎？"
"[english]asw_revive_warning"	"Reviving dead marines is a costly process for the IAF and will be a permanent negative mark on your record.  Are you sure you wish to authorize the procedure?"
"asw_marines_revived"	"死亡的士兵已經複活。"
"[english]asw_marines_revived"	"Dead marines revived."
"asw_button_cancel"	"取消"
"[english]asw_button_cancel"	"Cancel"
"asw_hacking_tumbler_title"	"執行儲存過程：二號檔案-改寫 v4.00774"
"[english]asw_hacking_tumbler_title"	"EXEC: Sec-Override v4.00774"
"asw_hacking_tumbler_status"	"訪問狀態"
"[english]asw_hacking_tumbler_status"	"ACCESS STATUS"
"asw_hacking_access_logged"	"嘗試訪問登錄"
"[english]asw_hacking_access_logged"	"ACCESS ATTEMPT LOGGED"
"asw_hacking_tumbler_alignment"	"子系統進程同步"
"[english]asw_hacking_tumbler_alignment"	"SUBSYSTEM PROCESS ALIGNMENT"
"asw_hacking_tumbler_rejected_1"	"錯誤：接入點拒絕響應權限提權操作。錯誤代碼 1。"
"[english]asw_hacking_tumbler_rejected_1"	"ERROR: ROOT PRIVILEGES REJECTED BY ACCESS POINT. ERRCODE 1."
"asw_hacking_tumbler_rejected_2"	"錯誤：SYNTEK 安全端口 A 拒絕響應權限提取操作。錯誤代碼 58。"
