"lang"
{
"Language"	"german"
"Valve_Ltblue"	"Ltblue"
"Valve_Green"	"Grün"
"Valve_Red"	"Rot"
"Valve_Brown"	"Braun"
"Valve_Ltgray"	"Leutnant Grau"
"Valve_Dkgray"	"Dkgray"
"Valve_Playing"	"Spielen"
"Valve_Stopped"	"Angehalten"
"Valve_Paused"	"Pausiert"
"Valve_x_1_4"	"x1/4"
"Valve_x_1_2"	"x1/2"
"Valve_x_1"	"x1"
"Valve_x_2"	"x2"
"Valve_x_4"	"x4"
"Valve_ViewDemoStatus"	"%s1 %s2 %s3"
"Valve_Hint_Zoom"	"%+zoom% ZOOM ANSICHT"
"Valve_Hint_machinegun"	"%+BENUTZEN% UM MONTIERTE WAFFE ZU BENUTZEN"
"Valve_Hint_Flashlight"	"%Impuls 100% FLASHLIGHT"
"Valve_Hint_PhysSwap"	"%phys_swap% TO SWAP GRAVITY GUN\n WITH PREVIOUS GUN"
"Valve_Hint_Command_send"	"%Impuls 50% SENDEN SIE IHRE SQUAD ZU EINEM STANDORT"
"Valve_Hint_Command_recall"	"%Impuls 50% ZWEIMAL, um deine Truppe zurückzurufen"
"Valve_Hint_CraneKeys"	"%+vorwärts% ARM AUSFAHREN %+rückwärts% ARM ZURÜCKZIEHEN %+moveleft% LINKS WENDEN %+moveright% RECHTS WENDEN %+attack% OBJEKT AUFHEBEN ODER ABWERFEN" [$WIN32]"
"Valve_Hint_BoatKeys"	"%+forward% SPEED UP %+back% SLOW DOWN %+moveleft% TURN LEFT %+moveright% TURN RIGHT" [$WIN32]"
"Valve_Hint_JeepKeys"	"%+Geschwindigkeit% TURBO %+Sprung% HANDBRAKE"
"Valve_Hint_JeepTurbo"	"%+Geschwindigkeit% TURBO"
"Valve_Hint_HEVcharger"	"%+benutze% HOLD DOWN TO CHARGE SUIT"
"Valve_Hint_AirboatGun"	"%+Angriff% SCHIESSEN AIRBOAT GUN"
"Valve_Hint_AmmoCrate"	"%+use% GET AMMO FROM CRATE"
"Valve_Hint_USEPickup"	"%+use% PICKUP OBJECT"
"Valve_Hint_ThrowHeld"	"%+Angriff% WURF GEHALTENES OBJEKT"
"Valve_Hint_MomentaryButton"	"%+benutze% HOLD DOWN TO TURN WHEEL"
"Valve_Hint_ThrowBait"	"%+Angriff% WURF BUGBAIT"
"Valve_Hint_SqueezeBait"	"%+Angriff2% RUF ANTLIONS"
"Valve_Hint_Ladder"	"%+benutze% MOUNT/DISMOUNT LADDER"
"Valve_Hint_Interact"	"%+use% INTERACT"
"Valve_Hint_Jump"	"%+jump% JUMP"
"Valve_Hint_Movement"	"%xmove% TO MOVE %xlook% TO LOOK" [$X360]"
"Valve_Hint_Door"	"%+benutzen% TÜR ÖFFNEN"
"Valve_Hint_Sprint"	"%+Geschwindigkeit% SPRINT"
"Valve_Hint_Attack"	"%+attack% ATTACK"
"Valve_Hint_Crouch"	"%+duck% CROUCH"
"Valve_Hint_ItemCrate"	"%+Angriff% BREAK SUPPLY CRATE FOR ITEMS"
"Valve_Hint_Healthcharger"	"%+benutze% HALTEN ZUM HEILEN VON MEDIZINISCHEN EINHEITEN"
"Valve_Hint_Reload"	"%+reload% RELOAD"
"Valve_Hint_SwimUp"	"%+Sprung% SCHWIMMEN AUF"
"Valve_Miscellaneous_Keyboard_Keys_Title"	"DIVERSE BEWEGUNGEN"
"Valve_Chapter"	"Kapitel"
"Valve_HudPoisonDamage"	"NEUROTOXIN-DETEKTIERENDE ANTIDOTEN"
"Valve_CreatingCache"	"Sound-Caches erstellen..."
"Valve_CreatingSpecificSoundCache"	"Verarbeitung: %s1"
"Valve_UpdatingSteamResources"	"Aktualisierung der Steam-Ressourcen..."
"Valve_Sprint"	"Sprint (schnelles Bewegen)"
"Valve_Suit_Zoom"	"Anzug Zoom"
"Valve_Commander_Mode"	"Send/Recall Squad"
"Valve_Gravity_Gun"	"Schwerkraftkanone"
"Valve_CC_Toggle"	"Soundeffekte beim Schließen von Untertiteln umschalten"
"Valve_Hud_HEALTH"	"GESUNDHEIT"
"Valve_Hud_AMMO"	"AMMO"
"Valve_Hud_AMMO_ALT"	"ALT"
"Valve_Hud_SUIT"	"SUIT"
"Valve_Hud_AUX_POWER"	"AUX POWER"
"Valve_Hud_OXYGEN"	"OXYGEN"
"Valve_Hud_FLASHLIGHT"	"FLASHLIGHT"
"Valve_Hud_SPRINT"	"SPRINT"
"Valve_Hud_BONUS_PROGRESS"	"BONUS"
"Valve_Hud_SQUAD_FOLLOWING"	"TRUPPE FOLGT"
"Valve_Hud_SQUAD_STATIONED"	"TRUPP STATIONIERT"
"Valve_HDRDEMO_LeftTitle"	"Feste Blende"
"Valve_HDRDEMO_RightTitle"	"Hochdynamischer Bereich"
"Valve_Hud_CamFOV"	"FOV"
"Valve_Hud_CamHeight"	"Nockenhöhe"
"Valve_CamArmLength"	"Armlänge"
"Valve_FilmDemo_FilmGrain_LeftTitle"	"No Film Grain"
"Valve_FilmDemo_FilmGrain_RightTitle"	"Film Grain"
"Valve_FilmDemo_ColorCorrection_LeftTitle"	"Keine Farbkorrektur"
"Valve_FilmDemo_ColorCorrection_RightTitle"	"Farbkorrektur"
"Valve_Hint_Select_Weapon_357"	"%slot1% SELECT .357 MAGNUM"
"Valve_Hint_Select_Weapon_AR2"	"%slot2% SELECT PULSE-RIFLE"
"Valve_Hint_Select_Weapon_Bugbait"	"%slot4% SELECT PHEROPOD"
"Valve_Hint_Select_Weapon_Crossbow"	"%slot1% SELECT CROSSBOW"
"Valve_Hint_Select_Weapon_Crowbar"	"%slot3% SELECT CROWBAR"
"Valve_Hint_Select_Weapon_Frag"	"%slot4% SELECT GRENADE"
"Valve_Hint_Select_Weapon_Physcannon"	"%slot3% SELECT GRAVITY GUN"
"Valve_Hint_Select_Weapon_Pistol"	"%slot1% SELECT 9MM PISTOL"
"Valve_Hint_Select_Weapon_RPG"	"%slot4% SELECT RPG"
"Valve_Hint_Select_Weapon_Shotgun"	"%slot2% SELECT SHOTGUN"
"Valve_Hint_Select_Weapon_SMG1"	"%slot2% SELECT SUBMACHINE GUN"
"Valve_Hint_Select_WEAPONUP"	"%slot1% SELECT WEAPON"
"Valve_Hint_Select_WEAPONRIGHT"	"%slot2% SELECT WEAPON"
"Valve_Hint_Select_WEAPONDOWN"	"%slot3% SELECT WEAPON"
"Valve_Hint_Select_WEAPONLEFT"	"%slot4% SELECT WEAPON"
"Valve_Hint_Alt_Weapon_SMG1"	"%+Angriff2% Feuern SMG GRENADE"
"Valve_Hint_Alt_Weapon_Crossbow"	"%+attack2% CROSSBOW SCOPE"
"Valve_Hint_Alt_Weapon_AR2"	"%+Angriff2% LADENDER IMPULS"
"Valve_Hint_Alt_Weapon_Shotgun"	"%+Angriff% FEUER EINES FASSES %+Angriff2% FEUER BEIDE FASSEN"
"Valve_Hint_Alt_Weapon_Frag"	"%+Angriff% WURF GRENADE %+Angriff2% ABWURF GRENADE"
"Valve_Hint_Alt_Weapon_Bugbait"	"%+Angriff% WURF PHEROPOD %+Angriff2% SQUEEZE PHEROPOD"
"Valve_Hint_Alt_Weapon_Physcannon"	"%+Angriff% LAUNCH OBJEKT %+Angriff2% GRAB OBJEKT"
"Valve_Hint_EnterVehicle"	"%+benutzen% FAHRZEUG EINGEBEN"
"Commentary_PrimaryAttack"	"%+Angriff%: Start/Stop Knoten"
"Commentary_SecondaryAttack"	"%+Angriff2%: Nächster Knoten"
"game_player_connecting"	"Spieler %s1 ist verbunden"
"game_player_joined_game"	"Spieler %s1 ist dem Spiel beigetreten"
"game_player_left_game"	"Spieler %s1 hat das Spiel verlassen (%s2)" [$WIN32]"
"game_player_joined_team"	"Spieler %s1 ist dem Team %s2 beigetreten"
"game_player_joined_autoteam"	"Spieler %s1 wurde automatisch dem Team %s2 zugewiesen"
"game_player_changed_name"	"Spieler %s1 hat seinen Namen in %s2 geändert"
"game_server_cvar_changed"	"Server cvar '%s1' geändert in %s2"
"Achievement_Earned"	"%s1 hat die Leistung %s2 verdient"
"game_nextmap"	"Nächste Karte: %s1"
"game_takesshots"	"Speichere automatisch einen Screenshot der Anzeigetafel am Ende einer Karte."
"Cannot_Be_Spectator"	"Auf diesem Server ist das Zuschauen nicht erlaubt"
"Valve_Reject_Background_Map"	"Kann dem Multiplayer-Spiel auf dem Hintergrundkarten-Hörserver nicht beitreten."
"Valve_Reject_Single_Player"	"Ich kann dem Einzelspieler-Spiel einer anderen Person nicht von einer entfernten IP-Adresse aus beitreten."
"Valve_Reject_Hidden_Game"	"Ich kann dem versteckten Spiel einer anderen Person nicht von einer anderen IP-Adresse aus beitreten."
"Valve_Reject_LAN_Game"	"LAN-Server sind auf lokale Clients beschränkt (Klasse C)."
"Valve_Reject_Bad_Password"	"Schlechtes Passwort."
"Valve_Reject_Server_Full"	"Der Server ist voll."
"Valve_Reject_Connect_From_Lobby"	"Du kannst dich nur von einer Lobby aus mit diesem Server verbinden."
"Valve_Reject_Reserved_For_Lobby"	"Der Server ist für Mitglieder der Lobby reserviert."
"Valve_Reject_CD_Key_Auth_Invalid"	"CD-Key-Authentifizierung für Internetserver ungültig"."
"Valve_Reject_Invalid_CD_Key"	"Ungültiger CD-Schlüssel"."
"Valve_Reject_CD_Key_In_Use"	"CD Key wird bereits verwendet."
"Valve_Reject_Banned_From_Server"	"Du wurdest von diesem Server verbannt."
}
}
